Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,23.43,23.55,23,23.39,12.0947,94462
2009-01-05,23.33,23.62,22.82,23.36,12.0789,130121
2009-01-06,23.24,23.71,23,23.16,11.9753,119479
2009-01-07,22.79,23.23,22.6,22.8,11.7891,107495
2009-01-08,22.6,23.1,22.5,22.91,11.8464,121882
2009-01-09,22.76,23.15,22.7,22.93,11.8565,80869
2009-01-12,23.15,23.16,22.5,22.88,11.8309,50509
2009-01-13,22.64,23.25,22.64,23.25,12.022,64796
2009-01-14,23.25,23.25,22.76,23.08,11.9343,34256
2009-01-15,22.9,23.63,22.89,23.63,12.2185,85704
2009-01-16,24,24,22.97,23.14,11.965,58346
2009-01-20,22.84,23.16,22.698,22.99,11.8875,116217
2009-01-21,23.04,23.66,22.36,23.66,12.2341,94541
2009-01-22,23.36,23.855,22.9,23.1,11.9445,33781
2009-01-23,22.94,23.12,22.91,22.99,11.8875,19126
2009-01-26,22.97,23.5,22.97,23.04,11.9133,32061
2009-01-27,23,23.18,22.22,22.36,11.5618,88414
2009-01-28,22.42,22.93,22.19,22.46,11.6134,66241
2009-01-29,22.63,22.63,21.7876,21.96,11.355,56337
2009-01-30,21.82,21.94,21.27,21.49,11.112,49620
2009-02-02,21.4,22.09,21.31,21.99,11.3704,67597
2009-02-03,21.93,23.45,21.731,22.91,11.8464,75302
2009-02-04,22.92,23.4,22.47,22.49,11.6291,82132
2009-02-05,22.18,23.08,22.115,22.68,11.7273,38208
2009-02-06,22.85,23.14,22.76,23.12,11.9547,37164
2009-02-09,23.25,23.3,22.63,22.98,11.8825,19011
2009-02-10,22.97,22.98,21.764,21.9,11.324,30448
2009-02-11,22.07,22.63,22.07,22.54,11.6548,30361
2009-02-12,22.04,22.54,21.9501,22.46,11.6134,37539
2009-02-13,22.26,22.62,21.15,21.69,11.2156,56491
2009-02-17,20.61,20.65,20.15,20.18,10.4346,84693
2009-02-18,20.53,20.53,19.11,20.13,10.4087,122366
2009-02-19,20.17,20.53,19.45,19.46,10.0624,79678
2009-02-20,19.08,19.37,18.372,19.17,9.9124,87547
2009-02-23,19.03,19.05,17.56,17.67,9.1369,105103
2009-02-24,17.96,18.92,17.5,18.77,9.7055,127835
2009-02-25,18.45,18.79,17.97,18.54,9.5865,69431
2009-02-26,19.54,19.87,18.57,18.62,9.6279,75838
2009-02-27,18.75,19.1,18.3,18.58,9.6072,70504
2009-03-02,18.27,18.63,17.6,17.64,9.1213,57431
