Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,37.82,38.34,36.86,38.11,16.9222,198460
2009-01-05,38.49,38.5,36.6,37.09,16.4691,256134
2009-01-06,37.3,37.66,35.98,36.27,16.1051,269501
2009-01-07,35.52,35.79,34.31,34.72,15.4169,461053
2009-01-08,34.76,35.465,34.15,35.18,15.6213,261529
2009-01-09,35.12,35.12,33.82,33.9,15.0528,195220
2009-01-12,33.95,34.56,33.68,33.84,15.026,162418
2009-01-13,33.72,34.93,33.72,34.61,15.368,145387
2009-01-14,34.23,34.6,33.07,33.17,14.7284,221348
2009-01-15,33.24,33.58,32.24,33.47,14.8618,170567
2009-01-16,33.79,33.79,32.71,33.41,14.9018,242635
2009-01-20,32.8,33.03,31.43,31.54,14.068,300025
2009-01-21,31.9,33.58,31.7,33.48,14.9331,242205
2009-01-22,32.7,33.56,32.42,33.24,14.8261,220898
2009-01-23,32.5,33.33,32.24,32.69,14.5809,190669
2009-01-26,33.17,33.82,32.86,33.47,14.9289,230379
2009-01-27,33.68,34.34,33.48,34.19,15.2498,400332
2009-01-28,34.75,34.9499,33.99,34.34,15.3168,260027
2009-01-29,33.87,34.15,32.85,33.39,14.8931,195181
2009-01-30,33.73,33.92,33.04,33.22,14.8174,195285
2009-02-02,32.88,34.45,32.79,34.28,15.29,332914
2009-02-03,34.48,34.58,33.43,34.04,15.1829,246439
2009-02-04,34.11,35.225,34.11,34.6,15.4329,314037
2009-02-05,34.46,35.29,34.28,34.78,15.5133,153675
2009-02-06,34.64,35.36,34.22,35.01,15.6158,220939
2009-02-09,34.93,35.04,33.8,34.05,15.1876,234188
2009-02-10,33.93,34.43,33.29,33.51,14.9467,229656
2009-02-11,33.69,34.44,33.63,34.16,15.2365,140997
2009-02-12,33.54,35.02,33.54,34.63,15.4462,206872
2009-02-13,34.81,35.24,34.59,34.87,15.5533,257582
2009-02-17,33.96,34.4,33.46,33.96,15.1473,254702
2009-02-18,34.2,34.25,33.48,33.56,14.9689,280295
2009-02-19,30.33,32.59,28.08,31.65,14.117,1472413
2009-02-20,31.09,31.45,30.65,31.09,13.8672,429713
2009-02-23,31.09,31.33,30.27,31,13.827,530121
2009-02-24,31.52,32.25,31.03,32.09,14.3132,283038
2009-02-25,31.56,32.01,30.78,31.41,14.0099,264043
2009-02-26,31.93,31.93,30.57,30.63,13.662,239186
2009-02-27,30.25,31.16,29.76,30.7,13.6933,357292
2009-03-02,30.14,30.37,29.65,29.68,13.2383,357450
2009-03-03,30.1,30.18,29.31,29.51,13.1624,299033
2009-03-04,29.88,30.82,29.25,30.34,13.5328,250823
2009-03-05,29.47,29.68,28.89,28.97,12.9216,396960
2009-03-06,29.13,29.39,28.25,28.87,12.8771,144192
