Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,18.59,18.95,18.49,18.84,12.4076,2018219
2009-01-05,18.82,18.97,18.44,18.66,12.2893,2908173
2009-01-06,18.74,19,18.32,18.42,12.131,3009412
2009-01-07,18.3,18.4,18.11,18.23,12.0059,2523001
2009-01-08,18.16,18.47,18.16,18.47,12.1643,2929612
2009-01-09,18.5,18.54,18.17,18.24,12.0127,2778908
2009-01-12,18.28,18.4,18.15,18.36,12.0919,2783753
2009-01-13,18.39,18.4,17.97,18.08,11.9074,3041114
2009-01-14,18.03,18.12,17.71,17.97,11.8348,3104341
2009-01-15,17.92,18.1,17.75,18.09,11.9141,2682718
2009-01-16,18.26,18.4892,18.11,18.28,12.0391,3378212
2009-01-20,18.34,18.51,17.93,17.98,11.8414,3465245
2009-01-21,18.23,18.36,17.99,18.31,12.0586,4334108
2009-01-22,18.21,18.57,17.94,18.44,12.1442,4379324
2009-01-23,18.15,18.43,18.02,18.38,12.1047,2803159
2009-01-26,18.45,18.77,18.39,18.63,12.2695,2544207
2009-01-27,18.69,18.76,18.42,18.68,12.3024,2646284
2009-01-28,18.94,18.94,18.5,18.69,12.309,3069624
2009-01-29,18.99,19.07,18.5,18.74,12.3418,2798875
2009-01-30,18.75,18.84,18.34,18.46,12.1577,2969975
2009-02-02,18.27,18.45,18,18.36,12.0919,2733460
2009-02-03,18.35,18.59,18.19,18.46,12.1577,2088192
2009-02-04,18.6,18.85,18.54,18.71,12.3221,2825863
2009-02-05,18.69,18.99,18.52,18.88,12.4346,2657844
2009-02-06,18.89,19.13,18.6695,19.03,12.5331,2529693
2009-02-09,19.02,19.03,18.65,18.81,12.3883,2048557
2009-02-10,18.65,18.87,18.18,18.25,12.0193,2554810
2009-02-11,18.38,18.42,17.97,18.13,11.9403,2445803
2009-02-12,17.9,18.15,17.7,18.14,11.9467,2783687
2009-02-13,18.25,18.38,18,18.03,11.8745,3053577
2009-02-17,17.76,18.02,17.35,17.51,11.532,3722426
2009-02-18,17.59,17.84,17.35,17.7,11.6569,4114215
2009-02-19,17.83,18.04,17.66,17.95,11.8215,5225179
2009-02-20,17.74,17.94,17.58,17.73,11.6768,4236722
2009-02-23,17.88,17.98,17.47,17.57,11.5713,3689437
2009-02-24,17.67,18.1,17.57,18.04,11.8809,3774995
