Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,17.68,18.45,17.575,18.36,14.1886,6025907
2009-01-05,18.11,18.88,18.11,18.24,14.0961,5936563
2009-01-06,18.39,18.8,18.185,18.61,14.3818,6199242
2009-01-07,18.26,18.47,17.76,17.89,13.8258,6295949
2009-01-08,17.65,17.7,16.64,17,13.1379,14456231
2009-01-09,17.14,17.17,16.21,16.31,12.6043,11664968
2009-01-12,16.21,16.28,15.74,15.95,12.3262,6989657
2009-01-13,15.97,16.41,15.77,16.23,12.5426,10419262
2009-01-14,15.84,16.13,15.5,15.5,11.9785,9532353
2009-01-15,16,16.54,15.55,16.35,12.6353,14432653
2009-01-16,16.69,16.96,16.19,16.93,13.0836,10746638
2009-01-20,16.72,16.87,15.59,15.61,12.0637,8786995
2009-01-21,15.78,16.01,15.17,15.89,12.28,7883805
2009-01-22,15.51,15.72,15,15.47,11.9555,10974913
2009-01-23,15.1,16.3,15.1,16,12.365,7295440
2009-01-26,16.17,16.6525,15.86,16.28,12.5815,5191244
2009-01-27,16.46,17.19,16.32,17.06,13.1842,10222957
2009-01-28,17.44,17.74,17.29,17.51,13.5319,8665259
2009-01-29,17.34,17.47,16.93,17.28,13.3542,8024162
2009-01-30,17.38,17.47,16.76,16.85,13.022,7293645
2009-02-02,16.58,17.18,16.33,16.75,13.0537,8855515
2009-02-03,16.65,17.18,16.48,17.13,13.3498,6542497
2009-02-04,17.13,17.61,17.06,17.19,13.3964,9139731
2009-02-05,16.92,18.49,16.81,18.3,14.2615,12815176
2009-02-06,18.27,18.88,18.18,18.69,14.5655,7503218
2009-02-09,18.6,18.7,18.16,18.37,14.3162,6521120
2009-02-10,18.28,18.87,17.61,17.78,13.8563,9390021
2009-02-11,17.89,17.98,17.4,17.73,13.8177,6852780
2009-02-12,17.48,18.19,17.3,18.14,14.1367,9677658
2009-02-13,18.18,18.61,17.98,18.42,14.3551,6022405
2009-02-17,17.985,18.01,17.13,17.25,13.4432,9714160
2009-02-18,17.28,17.67,17.05,17.26,13.451,5388000
2009-02-19,17.47,17.47,16.52,16.52,12.8742,8508809
2009-02-20,16.52,17.01,16.3,16.79,13.0849,9497737
2009-02-23,16.75,16.98,16.11,16.17,12.6018,6948298
2009-02-24,16.39,17.25,16.3,17.13,13.3498,8756769
2009-02-25,17,18.22,16.78,17.84,13.9033,12614157
2009-02-26,18.1,18.91,17.67,17.78,13.8563,12585922
2009-02-27,17.6,18.2,17.54,17.68,13.7782,11158320
2009-03-02,17.38,17.75,16.66,16.71,13.0225,9361678
2009-03-03,17.64,17.64,16.92,17.37,13.5366,13095982
2009-03-04,17.885,18.74,17.82,18.52,14.433,14757061
2009-03-05,18.44,18.84,18.03,18.17,14.1603,15172524
2009-03-06,18.38,18.64,17.25,17.82,13.8879,11374591
2009-03-09,17.7,18.31,17.25,17.31,13.49,11688746
2009-03-10,17.36,18.2525,17.36,18.22,14.1989,11672942
2009-03-11,18.35,18.67,18.13,18.53,14.4409,9259488
2009-03-12,18.54,19.22,18.38,19.11,14.8929,10955439
2009-03-13,19.06,19.29,18.73,19.22,14.9788,9253648
2009-03-16,19.24,19.3,18.26,18.39,14.3317,12711207
2009-03-17,18.49,19.42,18.38,19.37,15.0957,8812686
2009-03-18,19.61,20.42,19.31,20.11,15.672,17827214
2009-03-19,20.32,20.58,19.79,19.92,15.5241,11824769
2009-03-20,19.86,20.15,19.011,19.3,15.0407,12749961
2009-03-23,19.63,20.27,19.51,20.26,15.7891,7802811
2009-03-24,19.93,20.05,19.59,19.72,15.3685,7033890
2009-03-25,19.99,20.5,19.48,19.94,15.5398,10355913
2009-03-26,20.41,20.55,19.95,20.38,15.8826,10654988
2009-03-27,20.08,20.18,19.47,19.49,15.1891,9838701
2009-03-30,19.25,19.33,18.83,19.25,15.0018,9453838
2009-03-31,19.32,19.6,18.9,19.16,14.9319,9344672
2009-04-01,19,19.43,18.74,19.39,15.1109,8823503
2009-04-02,19.72,20.3,19.58,19.99,15.5786,7604859
2009-04-03,19.85,20.02,19.38,19.99,15.5786,7303102
2009-04-06,19.65,19.87,19.23,19.78,15.4149,6108526
2009-04-07,19.47,19.64,18.99,19.18,14.9474,5827620
2009-04-08,19.45,19.89,19.19,19.71,15.3603,5658124
2009-04-09,20.07,20.48,19.98,20.4,15.8982,5742223
2009-04-13,20.5,20.5,19.66,20.31,15.8282,9347498
2009-04-14,20.3,20.94,20.09,20.71,16.1397,9333736
2009-04-15,20.38,20.61,20.15,20.59,16.0463,7564204
2009-04-16,20.77,21.9,20.75,21.74,16.9423,10344482
2009-04-17,21.67,21.74,21.14,21.58,16.8176,7614136
2009-04-20,21.05,21.33,20.51,20.57,16.0307,9989184
2009-04-21,20.52,20.93,20.11,20.71,16.1397,9826810
2009-04-22,20.21,21.54,20.1,20.93,16.3107,12148914
2009-04-23,20.56,20.69,19.1,19.75,15.3918,16492212
2009-04-24,19.9,20.34,19.3,20.22,15.758,10257802
2009-04-27,19.74,20.36,19.66,20.13,15.6876,7187651
2009-04-28,20.12,20.28,19.845,19.94,15.5398,6095376
2009-04-29,20.02,20.24,19.81,19.93,15.5319,6974988
2009-04-30,20.18,20.89,20,20.44,15.9294,7732724
