Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,80.06,82.11,78.9,81.64,58.3978,35825762
2009-01-05,81.27,82.42,80.68,81.63,58.3907,43367216
2009-01-06,82.14,82.73,79.63,80.3,57.4395,41970150
2009-01-07,79.25,80.19,77.56,78.25,55.9731,35346576
2009-01-08,77.91,79.57,77.9,79.09,56.5741,30817044
2009-01-09,78.88,79.25,77.38,77.57,55.4865,32933621
2009-01-12,76.54,77.52,76.01,76.54,54.75,38115714
2009-01-13,76.46,78.34,76.46,77.92,55.7368,47135746
2009-01-14,77.04,77.31,74.32,75.1,53.7197,48119064
2009-01-15,74.7,76.7,74.01,76.66,54.8352,55594068
2009-01-16,77.62,78.45,76.52,78.1,55.8655,45529364
2009-01-20,77.08,78.63,76,76.29,54.5712,42841136
2009-01-21,76.255,79.38,76,79.26,56.695,43318263
2009-01-22,77.69,78.92,76.59,78.23,55.9588,40204631
2009-01-23,76.4,78.8,75.78,78.04,55.8226,46022703
2009-01-26,78.675,80.17,77.87,78.6,56.2232,42762552
2009-01-27,78.27,79.43,77.62,78.92,56.4521,38516055
2009-01-28,79.37,79.6,77.1413,79.25,56.6885,45360190
2009-01-29,77.58,78,76.64,77,55.079,39095602
2009-01-30,78.25,78.89,76,76.48,54.7066,51905295
2009-02-02,76.06,77.12,75.66,76.69,54.8572,36113788
2009-02-03,76.85,78.64,76.67,78.12,55.8801,39574019
2009-02-04,78.55,78.89,77.05,77.66,55.5507,29608796
2009-02-05,77.57,79.92,76.43,79.78,57.0673,39603340
2009-02-06,78.81,80.49,78.7,80.34,57.7574,36404315
2009-02-09,80.39,80.5,78.7,79.48,57.1394,27766350
2009-02-10,79.28,79.6,75.69,76.14,54.738,43839610
2009-02-11,76.61,76.77,73.61,74.58,53.6166,47910298
2009-02-12,73.57,75.25,72.7,75.22,54.0768,42859658
2009-02-13,74.99,75.58,74.44,74.59,53.6237,30388208
2009-02-17,72.72,72.91,71.16,71.28,51.2439,41844248
2009-02-18,71.51,72.58,71.27,71.94,51.7185,34330907
2009-02-19,71.87,72.96,71.77,72.16,51.8767,31236030
2009-02-20,70.94,72.22,70.21,71.23,51.2082,42811771
2009-02-23,72.25,72.8,69.06,69.3,49.8207,40719343
2009-02-24,69.72,72.29,69.65,72.09,51.8268,48888375
2009-02-25,71.4,73.49,70.5,72.05,51.798,55508677
2009-02-26,71.77,73.48,70.87,70.95,51.007,37216202
2009-02-27,69.79,70.23,67.9,67.9,48.8145,64954584
2009-03-02,67,67.43,64.84,64.91,46.6647,54829062
2009-03-03,65.84,66.12,64.08,64.36,46.2693,48931850
2009-03-04,65.56,66.54,64.79,65.68,47.2185,51516941
2009-03-05,64.18,64.58,62.13,62.22,44.7305,50248045
2009-03-06,62.98,64.59,61.86,64.03,46.0321,47093281
2009-03-09,62.88,65.98,62.87,64.57,46.4205,42726683
2009-03-10,65.59,67.48,65.34,67.39,48.4476,51673480
2009-03-11,67.38,67.96,65.35,65.77,47.2829,37472314
2009-03-12,66.01,67.49,65.72,67.15,48.2749,40433242
2009-03-13,67.39,67.6318,66.3704,67.2,48.3112,35226479
2009-03-16,67.04,68.23,66.57,66.97,48.1456,33593454
2009-03-17,66.81,69.24,66.36,69.09,49.6697,30841436
2009-03-18,68.51,70,66.86,69.17,49.7269,41893012
2009-03-19,70.4,70.43,67.94,68.33,49.1232,38603309
2009-03-20,68.64,69.44,65.67,66.09,47.5131,67262786
2009-03-23,66.99,70.82,66.86,70.53,50.7048,51750957
2009-03-24,69.6,70.69,69.15,69.35,49.8565,32107544
2009-03-25,69.7,71.17,68.76,70.16,50.4388,36740963
2009-03-26,70.68,71.49,69.82,71.23,51.2082,37732914
2009-03-27,70.05,70.6,69.29,69.98,50.3094,29513134
