Date,Open,High,Low,Close,Adjusted_close,Volume
2011-10-13,23.5,24.27,23,24.25,21.6061,396841
2011-10-14,24.36,25.49,24.36,25.35,22.5861,402629
2011-10-17,25.5,25.8,25.16,25.16,22.4172,583402
2011-10-18,25.06,25.36,24.9,25.24,22.4878,423500
2011-10-19,25.25,25.35,24.75,24.75,22.0513,722232
2011-10-20,24.8,25.03,24.33,24.75,22.0513,549716
2011-10-21,25,25.75,24.95,25.54,22.7553,1764512
2011-10-24,25.5,25.85,25.5,25.77,22.9604,371298
2011-10-25,25.88,26.08,25,25.75,22.9424,546812
2011-10-26,26.09,26.09,24.86,25.02,22.2922,657324
2011-10-27,25.25,25.95,25.25,25.62,22.8266,405421
2011-10-28,25.5,25.82,25.25,25.82,23.0046,584683
2011-10-31,26.25,26.74,25.25,26.74,23.8244,15105988
2011-11-01,25.6,28.28,25.15,27.31,24.3325,6095518
2011-11-02,27.4,27.4,25.79,26.62,23.7176,2476685
2011-11-03,26.94,27.07,26.38,26.39,23.5126,1615000
2011-11-04,26.17,26.59,24.88,25.19,22.4437,1923266
2011-11-07,24.91,25.48,24.37,24.6,21.9178,2703443
2011-11-08,25.1,25.345,24.76,24.94,22.2211,2024426
2011-11-09,24.35,25,23.84,23.89,21.2851,1570806
2011-11-10,24.48,24.71,23.52,23.65,21.0716,1165905
2011-11-11,23.88,24.09,23.63,23.79,21.196,1266127
2011-11-14,23.58,24.1,23.49,23.93,21.4116,1338952
2011-11-15,23.94,24.365,23.82,23.99,21.4652,1657666
2011-11-16,23.95,24.6,23.78,24.12,21.5817,1804502
2011-11-17,24,24.19,23.66,23.85,21.3399,1279111
2011-11-18,23.88,24.14,23.72,23.93,21.4116,1426202
2011-11-21,23.7,23.81,23.34,23.62,21.1341,1282010
2011-11-22,25.02,26.14,22.67,23.63,21.1433,2126367
2011-11-23,23.27,23.75,22.88,23.68,21.188,1009639
2011-11-25,23.45,23.45,22.88,23,20.5795,991092
2011-11-28,23.66,24.181,23.14,23.49,21.0176,1567249
2011-11-29,23.51,23.6,23.1666,23.27,20.8209,1222452
2011-11-30,24.06,24.195,23.33,23.9,21.3844,2320784
2011-12-01,23.81,24.36,23.65,24.27,21.7158,1046646
2011-12-02,25.48,25.48,24.22,24.25,21.6978,1208825
2011-12-05,24.57,25.15,24.41,25.09,22.4495,930821
2011-12-06,25.02,25.07,24.51,24.83,22.2168,662703
2011-12-07,24.72,24.83,23.86,24.57,21.9842,951186
2011-12-08,24.45,24.55,23.8,23.88,21.3669,938618
2011-12-09,24.07,24.46,23.96,24.35,21.7872,549757
2011-12-12,23.95,24.19,23.24,23.92,21.4027,1213318
2011-12-13,24.02,24.45,23.71,23.85,21.3399,1652724
2011-12-14,23.6,23.6,22.93,23.41,20.9461,1735951
2011-12-15,23.55,24.06,23.44,23.92,21.4027,1074896
2011-12-16,24.14,24.94,24.01,24.67,22.0733,2926928
2011-12-19,24.67,24.855,24.145,24.25,21.6978,1107108
2011-12-20,24.59,24.72,23.964,24.31,21.7517,1189902
2011-12-21,24.45,25.03,24.02,24.92,22.2973,2177306
2011-12-22,25.07,25.65,24.8,24.83,22.2168,971020
2011-12-23,24.83,25.16,24.7038,24.91,22.2889,574944
2011-12-27,24.84,25.05,24.465,25.05,22.4136,664335
2011-12-28,25.11,25.76,25.11,25.56,22.8701,917655
2011-12-29,25.67,26.46,25.5,25.95,23.2191,3975152
2011-12-30,25.99,25.99,25.135,25.69,22.9863,1169701
2012-01-03,26.02,26.43,25.07,25.14,22.4939,1059026
2012-01-04,25.07,26.07,24.84,25.97,23.2366,1391847
2012-01-05,25.78,25.81,24.87,25.6,22.9057,2270700
2012-01-06,25.54,25.62,25.12,25.17,22.5208,524372
2012-01-09,25.16,25.42,24.82,25.27,22.6102,558658
2012-01-10,25.46,25.7,25.25,25.58,22.888,1048244
2012-01-11,25.46,26.26,25.39,26.06,23.3172,1066217
2012-01-12,26.08,26.14,25.68,25.7,22.9954,709226
2012-01-13,25.45,25.68,25.34,25.63,22.9326,886123
2012-01-17,25.9,26.28,25.59,25.63,22.9326,465337
2012-01-18,25.51,27.04,25.43,26.99,24.1496,1453670
2012-01-19,27,27.29,26.44,26.62,23.8185,838326
2012-01-20,26.62,26.6758,26.3,26.36,23.5858,1014818
2012-01-23,26.45,26.6,25.56,25.75,23.0398,842772
2012-01-24,25.69,26.21,25.6,26.14,23.3887,761348
2012-01-25,26.04,26.63,25.82,26.6,23.8007,881776
2012-01-26,26.68,26.85,25.761,25.94,23.21,849938
2012-01-27,25.61,25.98,25.61,25.81,23.0935,685853
2012-01-30,25.65,25.96,25.5,25.92,23.1921,475232
2012-01-31,26.11,26.25,25.65,25.91,23.183,792665
2012-02-01,26.02,26.85,25.92,26.82,23.9974,816601
2012-02-02,26.86,26.99,26.62,26.65,23.8451,715174
2012-02-03,26.96,27.08,26.57,27.03,24.1853,719800
2012-02-06,26.9,27.12,26.64,26.78,23.9611,655099
2012-02-07,26.7,27.35,26.53,27.22,24.3552,963738
2012-02-08,27.16,27.39,26.8,27.39,24.5074,737818
2012-02-09,27.35,27.4,26.91,27.13,24.2743,721478
2012-02-10,26.96,27.13,26.83,27.07,24.2213,527246
2012-02-13,27.35,27.35,26.8265,27.03,24.1853,638849
2012-02-14,26.9,27.21,26.82,26.92,24.087,926326
2012-02-15,26.97,27.11,26.87,27,24.1584,1071282
2012-02-16,27.02,27.32,26.96,27.15,24.2926,639647
2012-02-17,27.26,27.63,27.17,27.59,24.6862,583461
2012-02-21,27.66,28.12,27.51,27.82,24.8918,753478
2012-02-22,27.66,28.06,27.48,27.53,24.6324,467403
2012-02-23,27.52,27.83,27.3,27.78,24.8562,335842
2012-02-24,27.89,27.94,27.24,27.26,24.3909,827853
2012-02-27,27.1,27.4,26.87,27.36,24.4803,1428987
2012-02-28,27.24,27.24,26.12,26.84,24.0155,3443811
2012-02-29,26.76,26.9499,25.91,25.98,23.246,4345609
2012-03-01,26,27.32,25.77,26.69,23.9746,1801321
2012-03-02,26.37,26.95,26.37,26.6,23.8937,1594867
2012-03-05,26.6,26.7,26.04,26.22,23.5524,1339794
2012-03-06,25.95,26.02,25.39,25.85,23.2199,1334109
2012-03-07,26.09,26.3,25.74,26.21,23.5433,933187
2012-03-08,26.3,26.7,25.965,26.62,23.9113,894769
2012-03-09,26.57,27.36,26.53,27.25,24.4772,719491
2012-03-12,27.38,27.63,27.26,27.53,24.7288,879771
2012-03-13,27.64,28.44,27.64,28.42,25.5281,861562
2012-03-14,28.41,28.48,28.2,28.36,25.4743,1183033
2012-03-15,28.39,28.84,28.06,28.73,25.8069,689158
2012-03-16,28.74,28.87,28.17,28.19,25.3217,903039
2012-03-19,28.21,28.5,27.88,27.94,25.0971,796443
2012-03-20,27.85,27.92,27.08,27.31,24.5314,993164
2012-03-21,27.3,27.56,27.25,27.33,24.5492,871973
2012-03-22,27.12,27.37,26.98,27.22,24.4503,665756
2012-03-23,27.37,27.37,27.06,27.2,24.4324,519460
2012-03-26,27.37,27.86,27.37,27.85,25.0163,642094
2012-03-27,27.92,28.02,27.61,27.99,25.1419,601000
2012-03-28,27.96,28.11,27.54,27.96,25.1151,917926
2012-03-29,27.81,27.81,27.25,27.66,24.8456,855474
2012-03-30,27.83,27.86,27.4,27.75,24.9264,1311510
2012-04-02,27.71,28.35,27.7,28.32,25.4383,817040
2012-04-03,28.33,28.545,27.93,28.25,25.3759,1034277
2012-04-04,27.91,27.94,27.58,27.8,24.9716,1070496
2012-04-05,27.75,28.23,27.75,27.97,25.1241,477464
2012-04-09,27.47,27.55,27.2,27.36,24.5762,495403
2012-04-10,27.24,27.34,26.58,26.94,24.199,909828
2012-04-11,27.19,27.3,26.83,27,24.2529,810198
2012-04-12,26.91,27.39,26.87,27.32,24.5403,646459
2012-04-13,27.1,27.21,26.79,26.83,24.1,492701
2012-04-16,27.11,27.3,26.5,26.9,24.163,850380
2012-04-17,27.29,27.31,26.85,27.2,24.4324,540528
2012-04-18,27.12,27.73,27.04,27.65,24.837,1118701
2012-04-19,27.61,27.97,26.8999,27.1,24.3428,1061279
2012-04-20,27.18,27.64,27.07,27.36,24.5762,807403
2012-04-23,27.06,27.06,26.52,26.89,24.1541,556403
2012-04-24,26.95,27.5,26.904,27.1,24.3428,518084
2012-04-25,27.34,27.81,27.34,27.7,24.8816,569558
2012-04-26,27.64,28.1,27.63,28.1,25.241,459040
2012-04-27,28.14,28.52,28.14,28.38,25.4926,566395
2012-04-30,28.32,28.32,27.81,27.88,25.0435,363918
2012-05-01,27.91,28.32,27.58,27.66,24.8456,638983
2012-05-02,27.45,27.95,27.4,27.76,24.9357,834999
2012-05-03,27.69,27.72,27.05,27.3,24.5221,990227
2012-05-04,27.3,27.3,26.45,26.45,23.7586,869979
2012-05-07,26.39,26.64,26.13,26.21,23.5433,995143
2012-05-08,26.1,26.44,25.65,26.36,23.6783,925973
2012-05-09,25.91,26.39,25.61,26.13,23.4713,923465
2012-05-10,26.3,26.56,26.05,26.14,23.4803,701427
2012-05-11,26,26.47,25.92,26.03,23.3819,625735
2012-05-14,25.83,26.05,25.43,25.43,22.8427,567173
2012-05-15,25.38,25.57,25.17,25.21,22.6448,565472
2012-05-16,25.43,25.76,25.295,25.37,22.7889,1045305
2012-05-17,25.34,25.36,24.42,24.42,22.0232,1456121
2012-05-18,24.42,24.87,24.42,24.67,22.2484,994753
2012-05-21,24.78,25.51,24.69,25.34,22.8529,1096617
2012-05-22,25.47,25.85,25.37,25.59,23.0784,958068
2012-05-23,25.36,25.79,24.83,25.79,23.2588,1252419
2012-05-24,25.94,26.14,25.765,26.14,23.5746,528777
2012-05-25,26.19,26.31,25.61,25.65,23.1327,677719
2012-05-29,25.79,26.34,25.74,25.89,23.349,800997
2012-05-30,25.46,25.84,25.27,25.45,22.9521,591896
2012-05-31,25.54,25.55,24.97,25.33,22.8438,1021519
2012-06-01,24.71,25.03,24.45,24.48,22.077,1379367
2012-06-04,24.48,24.55,24.03,24.51,22.1042,643371
2012-06-05,24.38,24.66,23.94,24.58,22.1677,499542
2012-06-06,24.89,25.49,24.89,25.49,22.9883,553764
2012-06-07,26.63,26.63,25.59,25.74,23.2137,802010
2012-06-08,25.71,26.09,25.32,25.92,23.3759,862268
2012-06-11,26.29,26.33,25.45,25.51,23.0061,816095
2012-06-12,25.5,25.67,25.35,25.58,23.0692,1222697
2012-06-13,25.34,25.4995,25.07,25.17,22.6997,891281
2012-06-14,25.21,25.25,24.92,25,22.5461,1478348
2012-06-15,25.14,25.43,24.92,25.32,22.835,3023706
2012-06-18,25.21,25.28,24.945,25.13,22.6634,860856
2012-06-19,25.25,25.6,25.05,25.08,22.6184,1441322
2012-06-20,25.03,25.05,24.49,24.72,22.2938,1123043
2012-06-21,25.17,25.45,24.27,24.28,21.897,1418578
2012-06-22,24.39,24.39,23.89,24.02,21.6624,1278872
2012-06-25,23.7,23.79,23.21,23.61,21.2926,1097589
2012-06-26,23.62,24.07,23.48,23.92,21.5725,1163853
2012-06-27,24.02,24.35,23.85,24.29,21.9059,1045051
2012-06-28,23.6,24.61,23.02,24.59,22.1766,1942859
2012-06-29,25.28,25.51,25.03,25.17,22.6997,1590715
2012-07-02,25.27,25.46,24.9,25.04,22.5823,708659
2012-07-03,24.99,25.68,24.94,25.68,23.1596,324886
2012-07-05,25.55,25.7,25.33,25.53,23.0243,620040
2012-07-06,25.22,25.5,25.15,25.2,22.7269,433059
2012-07-09,25.09,25.25,24.77,25,22.5461,692639
2012-07-10,25.09,25.45,24.28,24.36,21.9691,916138
2012-07-11,24.35,24.35,23.3,23.93,21.5815,1620484
2012-07-12,23.71,23.71,23.17,23.18,20.9048,1070430
2012-07-13,23.23,23.85,23.22,23.31,21.0222,1232546
2012-07-16,23.24,23.48,23,23.16,20.8869,990556
2012-07-17,23.35,23.68,23.19,23.65,21.329,1377699
2012-07-18,23.52,24.07,23.52,23.93,21.5815,684761
2012-07-19,23.96,24.16,23.66,24.12,21.7527,689502
2012-07-20,23.93,24.21,23.72,23.79,21.455,570816
2012-07-23,23.41,24,23.31,23.88,21.5362,660745
2012-07-24,23.82,23.95,23.37,23.59,21.2749,790812
2012-07-25,23.72,23.99,23.52,23.91,21.563,568737
2012-07-26,24.25,24.25,23.69,23.73,21.401,1402151
2012-07-27,23.92,24.29,23.76,24.2,21.8248,810636
2012-07-30,24.17,24.28,24.01,24.2,21.8248,626300
2012-07-31,24.17,24.22,23.95,23.98,21.6264,631628
2012-08-01,24.06,24.19,23.54,23.9,21.5542,1667477
2012-08-02,23.38,23.71,22.43,23.57,21.2567,1850800
2012-08-03,23.65,24.15,23.65,24.03,21.6714,1228619
2012-08-06,24.11,24.25,23.83,24.13,21.7616,701857
2012-08-07,24.24,24.27,24.075,24.24,21.8607,678217
2012-08-08,24.1,24.23,23.9,24.15,21.7797,488248
2012-08-09,24.21,24.635,24.09,24.47,22.0685,470647
2012-08-10,24.36,24.72,24.26,24.46,22.0594,627338
2012-08-13,24.44,24.67,24.27,24.51,22.1042,330077
2012-08-14,24.67,24.82,23.96,24.06,21.6987,609345
2012-08-15,24.03,24.29,23.94,24.29,21.9059,475660
2012-08-16,24.25,25.06,24.25,24.94,22.4921,942070
2012-08-17,24.95,25.19,24.89,25.14,22.6724,718662
2012-08-20,25.3,25.4,25.06,25.29,22.8079,710552
2012-08-21,25.4,25.71,25.2,25.2,22.7269,608529
2012-08-22,25.1,25.2,24.83,25.02,22.5645,575595
2012-08-23,24.97,25.109,24.53,24.63,22.3025,630865
2012-08-24,24.58,24.72,24.345,24.5,22.1848,581203
2012-08-27,24.67,24.68,24.11,24.14,21.8588,662901
2012-08-28,23.93,24.57,23.93,24.05,21.7777,517317
2012-08-29,24.07,24.145,23.88,24.01,21.7413,597690
2012-08-30,23.88,24.19,23.85,24.09,21.8137,503073
2012-08-31,24.33,24.33,23.935,24.29,21.9949,1153993
2012-09-04,24.23,24.235,23.81,24,21.7324,914953
2012-09-05,24.04,24.225,23.91,24.07,21.7958,1199583
2012-09-06,24.31,24.97,24.3009,24.97,22.6103,689350
2012-09-07,25.49,25.51,24.87,25.1,22.7285,627564
2012-09-10,24.87,25,24.57,24.58,22.2578,864380
2012-09-11,24.63,25.47,24.57,25.38,22.9819,985362
2012-09-12,25.4,25.47,24.82,25,22.6376,788920
2012-09-13,25.06,25.45,24.8,25.36,22.964,755954
2012-09-14,25.38,25.68,25.3101,25.57,23.1542,1722770
2012-09-17,25.57,25.59,25.11,25.34,22.9456,799250
2012-09-18,25.26,25.71,25.22,25.71,23.2808,1182337
2012-09-19,25.66,26,25.58,25.98,23.5254,1004454
2012-09-20,25.68,25.915,25.25,25.6,23.1811,1498219
2012-09-21,25.7,25.78,25.36,25.44,23.0362,1292846
2012-09-24,25.3,25.585,25.26,25.5,23.0908,919715
2012-09-25,25.55,25.71,25.4,25.41,23.0091,1661661
2012-09-26,25.44,25.53,24.81,24.98,22.6198,1354947
2012-09-27,25.14,25.5,24.97,25.3,22.9095,944418
2012-09-28,25.17,25.3372,24.99,25.15,22.7736,1538172
2012-10-01,25.25,25.5,24.84,25.24,22.8551,1837947
2012-10-02,25.29,25.49,25.06,25.25,22.8643,1068436
2012-10-03,25.35,25.35,24.9,25.02,22.6562,887027
2012-10-04,25.15,25.28,24.98,25.15,22.7736,903763
2012-10-05,25.32,25.49,25.03,25.14,22.7646,716929
2012-10-08,25.07,25.14,24.9,25.11,22.7375,434127
2012-10-09,25.12,25.17,24.75,24.79,22.4479,920069
2012-10-10,24.77,24.84,24.465,24.56,22.2393,717598
2012-10-11,24.7,24.78,24.27,24.32,22.022,832824
2012-10-12,24.59,24.88,24.52,24.61,22.285,1001761
2012-10-15,24.68,24.83,24.3433,24.73,22.3935,620770
2012-10-16,24.83,25.43,24.61,25.37,22.973,881274
2012-10-17,25.26,25.48,25.01,25.08,22.7101,814941
2012-10-18,24.68,24.72,24.13,24.64,22.4022,1419602
2012-10-19,24.59,24.59,23.9,24.22,22.0204,1757481
2012-10-22,24.22,24.32,23.85,24.29,22.0842,771361
2012-10-23,23.99,24.23,23.79,24.2,22.0022,1365217
2012-10-24,24.3,24.3,23.41,23.44,21.3112,1154514
2012-10-25,23.66,24.025,23.59,23.71,21.5566,1296061
2012-10-26,23.74,24.05,23.52,23.59,21.4475,1096253
2012-10-31,24.11,24.55,23.7,24.26,22.0567,1763551
2012-11-01,24.34,25.486,24.26,25.4,23.0932,1535000
2012-11-02,25.6,26.12,25.384,25.63,23.3024,1503922
2012-11-05,25.63,26.14,25.61,26,23.6388,1349520
2012-11-06,26.01,26.14,25.87,26.05,23.6843,1512082
2012-11-07,25.77,25.96,25.29,25.31,23.0114,1157982
2012-11-08,25.24,25.41,24.91,24.92,22.6571,1120203
2012-11-09,24.87,25.06,24.68,24.71,22.466,1445542
2012-11-12,24.78,24.91,24.38,24.76,22.5115,966538
2012-11-13,24.63,25,24.53,24.53,22.302,704624
2012-11-14,24.54,24.56,23.94,24.05,21.8659,1001995
2012-11-15,24.02,24.34,23.92,24.03,21.8478,769756
2012-11-16,24.02,24.22,23.92,24.19,21.993,984392
2012-11-19,24.49,24.99,24.445,24.84,22.5841,883979
2012-11-20,24.82,25.17,24.77,25.12,22.8388,775300
2012-11-21,25.05,25.41,25.002,25.34,23.0385,546064
2012-11-23,25.39,25.52,25.18,25.52,23.2024,341071
2012-11-26,25.42,25.96,25.42,25.86,23.5113,872921
2012-11-27,25.79,25.89,25.47,25.63,23.3024,633574
2012-11-28,25.51,25.97,25.407,25.94,23.5844,662305
2012-11-29,26.03,26.18,25.82,26.13,23.7567,584111
2012-11-30,26.11,26.31,25.95,26.09,23.7207,971358
2012-12-03,26.25,26.31,25.73,25.77,23.4298,648339
2012-12-04,25.74,25.91,25.58,25.7,23.3659,531096
2012-12-05,25.76,26.23,25.61,26,23.6388,663776
2012-12-06,26,26.09,25.6,26.09,23.7207,613237
2012-12-07,26.23,26.38,26.02,26.38,23.9845,530055
2012-12-10,26.37,26.53,26.22,26.48,24.0754,638141
2012-12-11,26.48,26.75,26.36,26.63,24.2115,777565
2012-12-12,26.67,26.99,26.67,26.79,24.3567,749205
2012-12-13,26.8,26.93,26.54,26.69,24.266,520783
2012-12-14,26.68,26.89,26.51,26.76,24.3297,591622
2012-12-17,26.79,26.84,26.45,26.55,24.139,681431
2012-12-18,26.63,27.24,26.38,27.2,24.7296,1044065
2012-12-19,27.25,27.67,27.06,27.57,25.0661,1007207
2012-12-20,27.54,27.64,26.49,26.84,24.4026,1646046
2012-12-21,26.43,26.81,26.22,26.76,24.3297,2001148
2012-12-24,26.79,26.885,26.62,26.87,24.4297,286764
2012-12-26,26.92,27.05,26.7,26.78,24.3479,298503
2012-12-27,26.76,26.92,26.49,26.85,24.4116,392262
2012-12-28,26.6,26.74,26.41,26.43,24.0297,402357
2012-12-31,26.36,27.11,26.34,27.1,24.6388,536804
2013-01-02,27.63,27.99,27.42,27.5,25.0024,927252
2013-01-03,27.5,27.79,27.24,27.41,24.9204,610706
2013-01-04,27.51,27.64,27.25,27.37,24.8843,563325
2013-01-07,27.19,27.32,26.925,27.01,24.5569,481287
2013-01-08,26.93,26.94,26.39,26.68,24.2572,1084482
2013-01-09,26.82,27.14,26.76,27.1,24.6388,985500
2013-01-10,27.34,27.545,27.12,27.48,24.9842,841985
2013-01-11,27.58,27.6,27.09,27.18,24.7116,353322
2013-01-14,27.09,27.24,26.75,27.21,24.7391,417312
2013-01-15,27.1,27.16,26.73,27.13,24.666,734366
2013-01-16,27.03,27.12,26.65,26.95,24.5025,431748
2013-01-17,27.06,27.47,26.83,27.42,24.9299,653444
2013-01-18,27.55,27.55,27.14,27.51,25.0118,711601
2013-01-22,27.65,27.68,27.34,27.68,25.1657,1457835
2013-01-23,27.62,27.92,27.58,27.9,25.3661,977322
