Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,280,287.31,273.01,285.4,274.9823,12500
2009-01-05,285.4,296.75,278.47,292,281.3413,25490
2009-01-06,292,307.5,292,302.22,291.1883,43343
2009-01-07,293,298,290,290,279.4144,21046
2009-01-08,289,305.44,286.8,305.44,294.2908,26004
2009-01-09,303.34,303.61,290.01,295.1,284.3282,31782
2009-01-12,295,295.43,286.57,288.03,277.5163,29476
2009-01-13,293,303.25,289,301.22,290.2248,21692
2009-01-14,296.9,298.98,282.17,283,272.6699,29299
2009-01-15,281.71,297.43,274.74,283.6,273.248,18045
2009-01-16,287.7,300.5,287.38,287.38,276.89,30637
2009-01-20,283.6,291.29,261.5,261.5,251.9547,38484
2009-01-21,269,292.2,263.61,292.2,281.534,38707
2009-01-22,286.9,290.31,272.72,284.6,274.2114,36804
2009-01-23,280.5,280.99,273.49,280,269.7794,27541
2009-01-26,284.4,285.02,269.06,269.06,259.2387,18673
2009-01-27,273.5,279.9,271.76,278.99,268.8063,49161
2009-01-28,288,289.9,280.74,289.9,279.318,29683
2009-01-29,284,284,268.5,268.5,258.6991,18634
2009-01-30,269.9,272.92,263.09,272.43,262.4857,23943
2009-02-02,270,278.5,269.09,278.5,268.3341,22732
2009-02-03,284.72,286.59,273.3,277.49,267.361,27416
2009-02-04,278.75,286.5599,277.11,277.11,266.9948,23636
2009-02-05,276.2,284.99,273.88,281.98,271.6871,17000
2009-02-06,285.58,293.06,283.44,293.06,282.3627,21912
2009-02-09,297.01,298.64,285,294.27,283.5285,17680
2009-02-10,290.12,290.12,268.53,272.41,262.4664,34471
2009-02-11,279.03,289.69,276.85,289.69,279.1157,27966
2009-02-12,284.99,292.95,281.94,289.5,278.9326,31417
2009-02-13,287,291.12,277,277,266.8889,16964
2009-02-17,273,279.08,268.12,268.12,258.333,28161
2009-02-18,268.12,271.88,265.5275,267,257.2539,17233
2009-02-19,267,274.66,265.03,265.99,256.2808,17374
2009-02-20,269,269,253,264.65,254.9897,31054
2009-02-23,264,266.01,250.26,250.26,241.125,33064
2009-02-24,251.75,255.1075,240.89,253.95,244.6802,54186
2009-02-25,251,264.66,246.77,261,251.4729,45433
2009-02-26,265,267.49,257.981,264,254.3634,25623
