Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,31.82,32.13,31.42,32,18.5224,2596733
2009-01-05,32.02,33,31.81,32.87,19.0261,4798363
2009-01-06,32.85,33.44,32.54,32.81,18.9914,3568897
2009-01-07,32.28,32.62,31.41,31.64,18.3141,3844090
2009-01-08,31.33,31.55,30.73,31.49,18.2273,3664786
2009-01-09,31.48,31.5,30.55,30.62,17.7236,3375417
2009-01-12,30.49,30.93,30.17,30.52,17.6659,3635238
2009-01-13,30.52,30.9,29.65,29.89,17.3013,3482947
2009-01-14,29.36,29.36,28.32,28.7,16.7186,3802438
2009-01-15,28.62,30,28.28,29.55,17.2139,4013792
2009-01-16,29.92,30.15,29.13,29.91,17.4234,3158809
2009-01-20,29.76,30,28.59,28.66,16.6955,4293123
2009-01-21,29.13,29.33,28.28,29.12,16.9632,4110857
2009-01-22,29.07,30.32,28.7,29.68,17.2896,3927826
2009-01-23,29.5,29.58,28.54,29.08,16.94,3510599
2009-01-26,29.15,29.25,27.62,28.62,16.6721,7418952
2009-01-27,28.78,29.2925,28.52,29.12,16.9632,2893903
2009-01-28,29.68,30.47,29.36,30.22,17.6041,4367161
2009-01-29,29.93,30.3,29.45,29.55,17.2139,3682694
2009-01-30,29.62,29.63,28.4,28.62,16.6721,4505502
2009-02-02,28.22,28.25,27.45,27.57,16.0602,6769758
2009-02-03,27.67,28.48,27.31,28.27,16.4682,5724335
2009-02-04,27.61,29.2,27.61,28.1,16.3691,5393491
2009-02-05,28.03,29.4,27.7,29.29,17.0624,6214294
2009-02-06,29.28,30.29,29.17,30.08,17.5227,4646165
2009-02-09,30.12,30.45,29.32,30.29,17.6449,3383926
2009-02-10,29.94,30.29,28.72,28.9,16.8352,4195098
2009-02-11,29.12,29.21,28.46,28.97,16.8757,3149352
2009-02-12,28.1,29.61,28.1,29.48,17.1729,5062862
2009-02-13,29.39,29.71,29.1,29.14,16.9748,3278878
2009-02-17,28.07,29,27.56,28.63,16.6777,5120587
2009-02-18,28.89,29.17,28.44,28.94,16.8587,5111684
2009-02-19,29.06,29.642,28.49,28.63,16.6777,4011179
2009-02-20,28.16,28.49,27.68,28.13,16.3864,6082769
2009-02-23,28.595,28.595,27.35,27.45,15.9905,5894504
2009-02-24,27.63,28.36,27.63,28.1,16.3691,6871251
2009-02-25,27.9,28.36,27.6,27.73,16.1535,6881423
2009-02-26,27.96,28.17,26.69,26.7,15.5534,5207040
2009-02-27,26.14,26.76,26.02,26.28,15.3088,6620272
