Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,40.84,41.9,39.93,41.76,38.9827,1114499
2009-01-05,41.64,41.69,40.71,40.9,38.1803,887375
2009-01-06,41.57,41.85,40.9,41.66,38.8897,1565163
2009-01-07,41.39,41.39,40.07,40.31,37.6296,1259656
2009-01-08,40.12,41.54,39.49,41.39,38.6376,1815063
2009-01-09,42.03,42.17,41.45,41.89,39.1044,1996552
2009-01-12,41.89,41.9,40.64,41.07,38.3389,1465432
2009-01-13,40.89,42.32,40.79,40.98,38.2548,2935175
2009-01-14,40.28,40.98,39.77,40.53,37.8352,2135038
2009-01-15,40.47,40.91,39.88,40.7,37.9936,2316827
2009-01-16,41.14,41.17,40.17,40.54,37.8443,2996304
2009-01-20,40.46,40.79,38.5,38.5,35.94,4077745
2009-01-21,38.69,39.49,38.5101,39.47,36.8455,2828667
2009-01-22,38.83,40.25,38.66,39.94,37.2845,2741771
2009-01-23,39.24,39.78,38.74,39.32,36.7053,2324423
2009-01-26,39.38,40.35,39.38,39.66,37.0228,2258761
2009-01-27,39.98,42.26,39.74,42.01,39.2165,4276032
2009-01-28,43.97,44.36,42.62,43.05,40.1875,3116128
2009-01-29,37.16,38.32,36.33,37.82,35.3053,8961807
2009-01-30,37.91,38,36.19,36.4,33.9796,3973858
2009-02-02,36.3,36.88,36.05,36.49,34.0635,2928271
2009-02-03,36.78,37.3497,36.05,37.17,34.6981,2683216
2009-02-04,37.21,38.82,37.09,38.36,35.8095,3107214
2009-02-05,38.01,38.8,37.13,38.74,36.164,3270143
2009-02-06,39.04,40.77,38.01,40.17,37.4987,3331877
2009-02-09,40.04,40.29,39.3,40.18,37.5078,1680234
2009-02-10,39.79,40.29,38.75,39.34,36.7241,2699956
2009-02-11,39.45,40.28,39.25,40.26,37.5827,2249448
2009-02-12,40.79,40.89,39.245,40.84,38.1244,2464861
2009-02-13,41,41.53,40.8,41.06,38.33,1453612
2009-02-17,40.03,40.34,39.53,39.74,37.0972,2510638
2009-02-18,39.51,40.17,39.16,39.99,37.3309,2053682
2009-02-19,40.31,40.94,39.93,40.46,37.7694,2989010
2009-02-20,40.22,40.22,39.26,39.89,37.2378,2705577
2009-02-23,40.17,40.62,39.35,39.68,37.0413,2787874
2009-02-24,39.64,40.56,39.09,39.73,37.088,2316046
2009-02-25,39.54,39.67,38.47,38.61,36.0424,2824383
2009-02-26,39.04,39.32,36.84,37.17,34.6981,4042241
2009-02-27,36.95,37.68,35.01,35.02,32.6913,4140497
2009-03-02,34.54,34.57,33.61,33.74,31.4965,4181600
2009-03-03,34.1,34.85,33.1,34.16,31.8882,3084698
2009-03-04,34.68,35.75,34.06,35.13,32.7939,3414139
2009-03-05,34.42,34.42,32.81,33.05,30.8523,3691947
2009-03-06,31.68,33.46,30.67,32.66,30.4884,5565168
2009-03-09,32.3,33.12,31.83,32.13,29.9936,3379469
2009-03-10,32.46,33.59,32.15,33.44,31.2163,3316495
2009-03-11,33.61,34.17,33.03,33.52,31.2911,2350000
2009-03-12,33.4,35.44,33.1708,35.27,32.9245,2836866
2009-03-13,35.34,36.6297,35.13,36.48,34.0541,3100527
2009-03-16,36.35,37.95,36.34,36.83,34.3807,2550823
2009-03-17,36.6,37.04,36.13,36.6,34.1662,2081139
2009-03-18,36.24,37.42,36.16,36.91,34.4557,2441309
2009-03-19,36.8,37.07,35,35.16,32.822,2530780
2009-03-20,35.18,35.94,34.69,34.98,32.6539,2245510
2009-03-23,35.67,36.3,34.89,36.3,33.8859,2229832
2009-03-24,35.9,36.71,35.73,36.26,33.8487,1656650
2009-03-25,36.16,37.19,35.46,36.44,34.017,1743065
2009-03-26,36.87,37.53,36.1,37.53,35.0345,1740299
2009-03-27,37.33,38,36.92,37.84,35.3235,1581955
2009-03-30,37.17,37.55,36.19,36.65,34.213,1781847
2009-03-31,36.85,37.156,36.4,36.5,34.0727,2360027
2009-04-01,36.33,36.94,35.36,36.88,34.4277,1813622
2009-04-02,37.44,38.67,37.13,38.13,35.5946,1909184
2009-04-03,38.265,38.37,36.55,36.85,34.3998,2338472
2009-04-06,36.16,37.12,36.16,37.03,34.5679,1952830
2009-04-07,36.5,37.59,36.35,37.03,34.5679,1379329
2009-04-08,37.73,39.05,37.43,37.74,35.2303,2037323
2009-04-09,39.49,39.49,38.07,38.78,36.2014,1918450
2009-04-13,38.42,39.46,38.24,39.24,36.6306,1424253
2009-04-14,39.09,41.56,38.96,41.35,38.6004,3890556
2009-04-15,40.85,41.46,40.32,41.21,38.4697,2699076
2009-04-16,41.65,41.71,40.825,41.4,38.6471,1872403
2009-04-17,41.57,43.13,41.5,42.96,40.1036,2413599
2009-04-20,42.46,43.46,41.77,41.93,39.1419,3229452
2009-04-21,41.72,42.41,41.02,42.21,39.4027,2483507
2009-04-22,41.63,43.02,41.58,42.29,39.4777,2178571
2009-04-23,42.31,44.02,42.22,42.74,39.898,3452643
2009-04-24,43.21,44.97,43.05,44.62,41.6531,3217312
2009-04-27,43.55,44.51,43.11,43.79,40.8781,2095481
2009-04-28,43.67,43.92,42.87,43.36,40.4768,2295975
2009-04-29,43.86,44.83,43.31,44.23,41.2891,1691588
2009-04-30,44.53,45.06,43.64,43.99,41.0648,2209773
2009-05-01,43.92,44.21,42.8,43.1,40.2341,2393016
2009-05-04,43.62,44.33,43.13,44.26,41.3168,2736311
2009-05-05,43.84,44.51,43.495,43.77,40.8596,1649162
2009-05-06,43.94,45.05,43.49,44.6,41.6344,2908214
2009-05-07,45.01,46.6,44.19,46.29,43.2119,4053644
2009-05-08,46.64,47.41,46.3,46.66,43.5573,2001020
2009-05-11,45.77,46.35,45,45.24,42.2321,2755367
2009-05-12,45.25,45.76,43.71,44.32,41.3729,3202353
2009-05-13,43.89,44.14,42.79,42.89,40.0377,3026294
2009-05-14,43.04,43.97,42.95,43.81,40.897,1867107
2009-05-15,43.65,44.13,43.35,43.71,40.8033,1656133
2009-05-18,43.82,44.52,43.53,44.49,41.5314,2110348
2009-05-19,44.31,45.56,44.31,45.34,42.3254,2355684
2009-05-20,45.55,46,45.27,45.35,42.3345,1883392
2009-05-21,44.89,44.97,44.07,44.32,41.3729,1236088
2009-05-22,44.21,44.85,43.92,44.26,41.3168,1101345
2009-05-26,44.08,45.42,43.47,45.29,42.2785,1673285
2009-05-27,45.1,46.05,44.86,44.97,41.9795,1964127
2009-05-28,45.19,45.7,43.9,44.12,41.1863,2217273
2009-05-29,44.05,44.59,43.76,44.55,41.5877,2725890
2009-06-01,44.87,45.95,44.87,45.71,42.6704,1230627
2009-06-02,45.66,46.5975,45.66,46.02,42.9599,1577675
2009-06-03,45.61,45.8,44.69,45.09,42.0919,2122792
2009-06-04,45.13,45.2,43.78,44.15,41.214,1952793
2009-06-05,44.17,44.55,43.4,43.48,40.5888,1606363
2009-06-08,43.07,43.6,42.56,42.71,39.87,2372538
2009-06-09,42.98,43.4,42.3302,42.4,39.5805,1922351
2009-06-10,42.75,43.05,41.815,42.02,39.2258,1824432
2009-06-11,41.9,43.03,41.9,42.56,39.7297,1832847
2009-06-12,42.55,43.12,42.21,42.47,39.6457,1383239
2009-06-15,41.95,42.09,40.41,40.56,37.863,2179934
2009-06-16,40.72,41.31,40.2,40.66,37.9563,2712114
2009-06-17,40.68,41.31,40.66,40.91,38.1898,2290941
2009-06-18,40.9,41.73,40.64,41.33,38.5819,3824820
2009-06-19,41.55,42.75,41.55,42.47,39.6457,4480862
2009-06-22,42.06,42.45,41.84,41.98,39.1883,2331483
2009-06-23,41.99,42.74,41.87,42.07,39.2725,1576734
2009-06-24,42.24,42.46,41.54,41.69,38.9179,3361799
2009-06-25,41.69,43.6,41.49,42.92,40.0662,2449394
2009-06-26,42.71,43.3,41.96,43.1,40.2341,3582963
2009-06-29,43.05,43.155,42.44,42.99,40.1312,962124
2009-06-30,42.89,42.89,42.23,42.6,39.7674,1775865
2009-07-01,42.52,42.58,41.79,41.87,39.0855,1903174
2009-07-02,41.37,41.87,40.21,40.22,37.5453,2696440
2009-07-06,40.15,40.54,39.9,40.27,37.5922,2428199
2009-07-07,39.96,40.24,39.66,39.75,37.1069,2128167
2009-07-08,39.89,40.28,39.602,40.04,37.3775,2514855
2009-07-09,40.27,40.89,39.28,39.76,37.1161,2316259
2009-07-10,39.51,39.77,38.82,39.24,36.6306,1840281
2009-07-13,38.55,40.96,38.55,40.59,37.8908,2502576
2009-07-14,40.44,40.92,39.92,40.7,37.9936,2957653
2009-07-15,40.86,41.57,40.81,41.31,38.5629,2240007
2009-07-16,41.16,42.76,41.11,42.59,39.7579,1982047
2009-07-17,42.32,42.58,41.37,41.57,38.8057,1782683
2009-07-20,41.82,41.94,41.3,41.73,38.9552,1164414
2009-07-21,41.96,42.49,41.375,42.07,39.2725,1887361
2009-07-22,41.97,43.29,41.79,42.62,39.7859,3127506
2009-07-23,43.7,44.71,42.77,43.17,40.2995,6646470
2009-07-24,44.47,44.72,43.51,44.62,41.6531,3098674
2009-07-27,44.71,45.37,44.44,45.3,42.2879,2179186
2009-07-28,45.28,46.42,45.02,46.37,43.2865,3014436
2009-07-29,45.85,47,45.74,46.65,43.5481,2476608
2009-07-30,46.93,46.93,45.53,45.65,42.6146,2144191
2009-07-31,45.78,46.79,45.55,46.6,43.5013,2115824
2009-08-03,46.88,46.88,45.88,46.5,43.4081,2178350
2009-08-04,46.3,46.7,46.24,46.59,43.4919,1037623
2009-08-05,46.7,46.76,45.89,46.41,43.324,1133830
2009-08-06,46.28,46.29,45.61,46.08,43.0159,1101734
2009-08-07,46.36,46.69,44.89,45.3,42.2879,3051235
2009-08-10,45.14,46.51,45.01,46.1,43.0347,1915892
2009-08-11,45.93,46.24,45.32,45.37,42.3529,2067479
2009-08-12,45.15,45.91,44.89,45.49,42.465,1864127
2009-08-13,45.49,45.5,44.61,45.41,42.3904,1802857
2009-08-14,45.23,45.83,44.95,45.33,42.3156,1210602
2009-08-17,44.87,45.36,44.54,44.94,41.9514,1225113
2009-08-18,44.87,45.18,44.53,44.89,41.9049,937495
2009-08-19,44.66,45.85,44.66,45.69,42.6519,1126519
2009-08-20,45.78,47,45.6,46.7,43.5947,2471451
2009-08-21,46.97,47.75,46.82,47.24,44.0987,2092569
2009-08-24,48.44,49,47.86,47.96,44.7706,2177602
2009-08-25,47.95,48.59,47.61,48.14,44.9386,2323579
2009-08-26,47.89,48.96,47.82,48.55,45.3215,2025057
2009-08-27,48.48,48.64,47.8,48.56,45.331,1525973
2009-08-28,48.73,48.78,47.23,47.96,44.7706,1501999
2009-08-31,47.77,48.1,46.99,47.35,44.2013,1774014
2009-09-01,47.14,47.63,46.28,46.6,43.5013,2269278
2009-09-02,46.39,46.61,46.01,46.24,43.1653,1807552
2009-09-03,46.5,47.5,46.18,47.44,44.2854,2538536
2009-09-04,47.33,49.94,47.2,49.11,45.8445,5271299
2009-09-08,49.14,49.22,48.56,48.95,45.6949,2876422
2009-09-09,48.82,50.4,48.82,49.55,46.2551,2450299
2009-09-10,49.77,49.96,49.11,49.96,46.6381,1156440
2009-09-11,49.92,51.03,49.74,50.59,47.2262,2549610
2009-09-14,50.58,50.65,49.83,50.62,47.2538,1296412
2009-09-15,50.615,51.17,50.16,50.89,47.5058,1885584
2009-09-16,50.89,51.28,50.68,51.26,47.8514,1620314
2009-09-17,51.07,51.342,50.38,50.7,47.3286,1948027
2009-09-18,50.73,51.26,50.51,51.12,47.7207,1866856
2009-09-21,51.55,53.7,51.45,52.68,49.1769,3030623
2009-09-22,52.67,53.04,52.17,52.43,48.9439,2505003
2009-09-23,52.58,53.195,51.9524,52.83,49.3172,3259623
2009-09-24,52.82,52.87,51.96,52.11,48.6447,3696495
2009-09-25,52.22,53.48,52.08,52.92,49.401,4116145
2009-09-28,53.04,54.55,53.01,53.91,50.3254,2847610
2009-09-29,53.86,54,53.18,53.6,50.0359,3906259
2009-09-30,54.99,55.25,53.21,53.45,49.8959,3463722
2009-10-01,53.4,53.46,52.75,52.75,49.2422,3457485
2009-10-02,52.39,52.44,51.46,51.5,48.0754,4475421
2009-10-05,51.39,52.6,51.27,52.45,48.9622,2255906
2009-10-06,50.61,51.52,49.14,51.45,48.0288,4514491
2009-10-07,51.24,51.71,51.2,51.6,48.1689,2285706
2009-10-08,51.82,52.47,51.66,52,48.5421,4092309
2009-10-09,51.1,52.48,50.61,52.38,48.897,2451756
2009-10-12,52.42,52.55,52.18,52.49,48.9995,1318836
2009-10-13,52.52,52.66,52.04,52.23,48.7569,1871650
2009-10-14,52.42,52.59,51.44,52.04,48.5796,2676434
2009-10-15,51.86,52.35,51.76,52.14,48.6728,1290572
2009-10-16,51.89,52.49,51.49,51.92,48.4677,2201297
2009-10-19,51.9,52.11,51.65,51.91,48.4581,1753995
2009-10-20,51.83,51.9,50.68,50.95,47.5622,1956952
2009-10-21,51.91,53.72,51.65,52.23,48.7569,4665353
2009-10-22,53.71,55.31,52.25,55.04,51.3802,4231567
2009-10-23,54.85,55.61,54.501,54.71,51.0719,2236050
2009-10-26,55.1,55.76,54.0019,54.26,50.6519,2258632
2009-10-27,54.21,55.15,54.2,54.3,50.6895,1755809
2009-10-28,54.175,54.28,52.97,53.1,49.5689,1976184
2009-10-29,54.77,54.77,52.86,53.57,50.0079,1263905
2009-10-30,53.34,53.93,52.23,52.57,49.0744,1684569
2009-11-02,52.62,53.33,52.28,52.77,49.2613,1297386
2009-11-03,52.64,52.86,52.17,52.43,48.9439,1687563
2009-11-04,52.5,53.94,52.5,53.15,49.6158,1674495
2009-11-05,53.49,54.61,53.49,54.5,50.8761,1123535
2009-11-06,54.25,54.64,53.68,53.77,50.1946,1371558
2009-11-09,53.83,54.99,53.74,54.94,51.2867,1142818
2009-11-10,54.7,55.83,54.7,55.71,52.0055,861620
2009-11-11,56.1,56.27,54.9,55.32,51.6413,1370614
2009-11-12,55.27,55.83,54.93,55.16,51.492,1272209
2009-11-13,55.07,56.04,54.92,55.59,51.8933,2366128
2009-11-16,55.76,56.17,55.61,55.79,52.08,1860218
2009-11-17,55.55,56.95,55.51,56.75,52.9764,1977226
2009-11-18,57.09,58.205,57.09,58.03,54.1712,2568722
2009-11-19,57.79,58.08,56.33,56.86,53.0792,1997430
2009-11-20,56.61,57.055,55.64,56.92,53.1349,2145161
2009-11-23,57.21,58.2,57.04,57.96,54.1055,1460496
2009-11-24,58.11,58.47,57.46,58.34,54.4606,1515385
2009-11-25,58.55,59.31,58.39,59.11,55.1794,1431290
2009-11-27,57.93,59.07,56.83,58.52,54.6286,958738
2009-11-30,58.93,59.41,58.45,59.17,55.2352,1957746
2009-12-01,59.51,59.68,58.56,58.75,54.8431,2049422
2009-12-02,58.74,59.24,58.65,58.97,55.0485,1663074
2009-12-03,58.9,59.44,58.09,58.14,54.2739,3187201
2009-12-04,58.39,59.12,58.13,58.91,54.9928,1406742
2009-12-07,58.61,59.65,58.61,59.12,55.1885,961609
2009-12-08,58.61,58.865,57.995,58.43,54.5447,2048896
2009-12-09,58.29,58.5,57.42,57.91,54.0592,1579139
2009-12-10,58.31,59.48,58.2,59.21,55.2727,1103637
2009-12-11,59.1,59.59,59.07,59.36,55.4127,1173119
2009-12-14,59.5,60.23,59.5,59.88,55.8982,946924
2009-12-15,59.88,60.5,59.42,60.07,56.0753,1408723
2009-12-16,59.86,60.639,59.27,59.36,55.4127,1563001
2009-12-17,59.14,59.35,58.65,58.68,54.778,1428979
2009-12-18,58.26,58.74,57.55,58.47,54.5821,1798875
2009-12-21,58.65,59.48,58.65,58.88,54.9646,674080
2009-12-22,58.8,59.5,58.8,59.44,55.4876,619210
2009-12-23,59.64,60.11,59.21,60.07,56.0753,764250
2009-12-24,60.14,60.31,60.01,60.27,56.2623,234451
2009-12-28,60.28,60.52,59.96,60.34,56.3276,545202
2009-12-29,60.28,60.46,60.02,60.18,56.1782,590149
