Date,Open,High,Low,Close,Adjusted_close,Volume
2014-05-15,11.4,13.92,11.06,13.43,13.43,8424569
2014-05-16,13.6,15.75,13.44,15.25,15.25,1867782
2014-05-19,16,17.94,15.99,16.5,16.5,1529196
2014-05-20,16.75,18.17,15.67,16.95,16.95,877711
2014-05-21,17.2,17.33,16.3,17.19,17.19,386830
2014-05-22,17.3,17.3,15.95,16.15,16.15,1321100
2014-05-23,16.46,16.46,14.8,16.36,16.36,942243
2014-05-27,16.5,16.7,15.92,16.1,16.1,115651
2014-05-28,16.29,18.45,16.17,17.38,17.38,501212
2014-05-29,17.5,18.059,17.29,17.49,17.49,272088
2014-05-30,17.85,17.9,15.83,15.98,15.98,219220
2014-06-02,15.95,15.96,14.17,15,15,346117
2014-06-03,15.06,16,14.77,15.06,15.06,293771
2014-06-04,15.09,15.51,14.31,15.3,15.3,180051
2014-06-05,15.3,15.62,14.73,15.22,15.22,174421
2014-06-06,15.35,15.59,15,15.39,15.39,223101
2014-06-09,15.24,17.57,14.76,17.32,17.32,438428
2014-06-10,17.44,18.12,16.5,16.5,16.5,244343
2014-06-11,16.39,18.75,16.2301,18.49,18.49,419043
2014-06-12,18.44,18.44,17.34,17.89,17.89,231569
2014-06-13,18.05,18.09,16,16.75,16.75,426178
2014-06-16,16.69,18.25,16.19,17.24,17.24,271753
2014-06-17,17.37,18,17.24,17.7,17.7,88587
2014-06-18,17.74,18.11,17.31,17.61,17.61,142646
2014-06-19,17.53,18.01,17.52,18,18,221858
2014-06-20,18.1,18.29,16.97,17.56,17.56,324919
2014-06-23,17.49,18.4,17.21,17.99,17.99,135277
2014-06-24,17.81,18.025,17.53,17.81,17.81,106264
2014-06-25,17.93,18.02,17.5,17.94,17.94,99783
2014-06-26,17.9,18,17.57,17.68,17.68,77098
2014-06-27,17.67,18.4,17.16,17.16,17.16,1136820
2014-06-30,17.27,17.6,16.34,17.38,17.38,283959
2014-07-01,17.4,17.5,17,17.3,17.3,152844
2014-07-02,17.37,17.37,16.31,16.43,16.43,193602
2014-07-03,16.43,16.71,16.16,16.51,16.51,88087
2014-07-07,16.51,16.51,15.5,15.79,15.79,235584
2014-07-08,15.85,16.47,15.5445,16.38,16.38,202600
2014-07-09,16.48,16.48,15.71,16.05,16.05,157402
2014-07-10,15.81,16.34,15.5,16.08,16.08,232318
2014-07-11,16.05,16.079,15.65,15.94,15.94,184912
2014-07-14,16.04,16.59,16.04,16.48,16.48,106231
2014-07-15,16.51,17.19,16.33,17.06,17.06,168359
2014-07-16,17.01,17.39,16.82,17.15,17.15,227745
2014-07-17,17.16,17.74,17.05,17.14,17.14,249504
2014-07-18,17.14,17.77,17.14,17.64,17.64,253136
2014-07-21,17.62,17.88,17.19,17.32,17.32,164880
2014-07-22,17.33,17.88,17,17.26,17.26,133223
2014-07-23,17.36,17.64,17.2,17.4,17.4,79811
2014-07-24,17.4,17.74,17.262,17.49,17.49,164185
2014-07-25,17.35,17.69,16.8501,17.05,17.05,281133
2014-07-28,17,17.45,16.8,17.25,17.25,324526
2014-07-29,17.39,17.53,17.09,17.25,17.25,167361
2014-07-30,17.39,18,17.3,17.77,17.77,136521
2014-07-31,17.63,17.88,17.04,17.39,17.39,102576
2014-08-01,17.36,17.63,17.3,17.55,17.55,128602
2014-08-04,17.58,17.736,17.31,17.5,17.5,142576
2014-08-05,17.71,18.33,17.52,17.97,17.97,397601
2014-08-06,19.2,20.5,18.84,19.18,19.18,1180701
2014-08-07,19.42,19.7799,19.11,19.42,19.42,199617
2014-08-08,19.49,21.45,19.37,21.29,21.29,277251
2014-08-11,21.39,23.58,21.35,22.92,22.92,331842
2014-08-12,23.04,23.44,22.21,22.7,22.7,200769
2014-08-13,22.9,23.46,22.81,23.32,23.32,127596
2014-08-14,23.27,24.44,23.2265,23.34,23.34,237536
2014-08-15,23.33,24.01,22.6336,23.98,23.98,209353
2014-08-18,24.25,24.335,23.77,24.25,24.25,115866
2014-08-19,24.61,25.44,24.3,25.2,25.2,192741
2014-08-20,25.08,25.22,24.53,25.01,25.01,145487
2014-08-21,24.9,25.09,24.72,24.98,24.98,46710
2014-08-22,24.89,25.07,24.52,24.94,24.94,108242
2014-08-25,24.97,25.2799,24.76,25.21,25.21,48883
2014-08-26,25.29,27.3042,25.29,26.28,26.28,319960
2014-08-27,26.66,27.96,26.41,26.72,26.72,142302
2014-08-28,26.72,27.16,26.03,27.07,27.07,116690
2014-08-29,27.25,27.3,26.5301,27.19,27.19,150782
2014-09-02,27.68,28.05,27.33,27.74,27.74,143803
2014-09-03,27.71,27.8,26.85,26.98,26.98,199895
2014-09-04,27.02,27.3799,24.75,24.89,24.89,233636
2014-09-05,24.88,25.25,23.87,24.67,24.67,140439
2014-09-08,24.67,25.45,23.66,24.23,24.23,273095
2014-09-09,24.62,24.82,24.071,24.25,24.25,136513
2014-09-10,24.1,24.81,23.79,24.34,24.34,219125
2014-09-11,24.19,24.75,24.132,24.4,24.4,157921
2014-09-12,24.41,24.41,23.45,23.5,23.5,228190
2014-09-15,23.42,23.42,21.86,22.06,22.06,211159
2014-09-16,21.86,22.221,21.58,21.77,21.77,241163
2014-09-17,21.52,23.19,21.47,22.79,22.79,310483
2014-09-18,22.83,24.1297,22.76,23.07,23.07,379923
2014-09-19,23.08,23.8,22.01,22.65,22.65,846382
2014-09-22,22.53,22.7399,21.41,21.8,21.8,290263
2014-09-23,21.74,21.97,21.0605,21.34,21.34,118224
2014-09-24,21.32,21.9,20.829,21.75,21.75,97551
2014-09-25,21.76,22.22,21.45,21.77,21.77,120398
2014-09-26,21.79,22.15,21.55,21.9,21.9,92282
2014-09-29,21.57,22.59,21.57,21.89,21.89,133751
2014-09-30,21.96,22.07,21.1825,21.59,21.59,161446
2014-10-01,21.51,22.07,21.01,21.55,21.55,224121
2014-10-02,21.49,21.9,21.08,21.85,21.85,267367
2014-10-03,22.15,25.85,22.15,25.55,25.55,589662
2014-10-06,25.7,25.7,24.17,24.32,24.32,854255
2014-10-07,24.1,24.31,23.3,23.61,23.61,192571
2014-10-08,23.61,23.77,22.76,23.15,23.15,263936
2014-10-09,23.15,23.15,22.03,22.32,22.32,171839
2014-10-10,22.31,22.5,20.5,20.52,20.52,319699
2014-10-13,20.57,20.66,19.39,19.94,19.94,462061
2014-10-14,20.11,21.8,20.03,20.62,20.62,478062
2014-10-15,20.18,21.86,19.8701,21.76,21.76,404729
2014-10-16,21.5,22.94,21.5,22.33,22.33,391690
2014-10-17,22.67,22.75,21.68,22.08,22.08,215354
2014-10-20,21.83,22.11,21.09,21.17,21.17,229676
2014-10-21,21.24,21.39,20.7,21.3,21.3,129603
2014-10-22,21.36,21.4099,20.04,20.07,20.07,227987
2014-10-23,20.37,20.4,19.9,20.25,20.25,264931
2014-10-24,20.25,21.2,20.09,21.09,21.09,281094
2014-10-27,20.99,21.8,20.5,21.24,21.24,196004
2014-10-28,21.41,22.58,21.21,22.53,22.53,228931
2014-10-29,22.71,22.87,21.73,22.26,22.26,172227
2014-10-30,22.22,23.76,21.5,23.23,23.23,459149
2014-10-31,25.34,28.2,24.62,26,26,1548855
2014-11-03,25.89,27.34,25.6,26.4,26.4,478547
2014-11-04,26.3,27.37,26.225,26.71,26.71,545262
2014-11-05,26.66,26.98,24.46,24.96,24.96,484995
2014-11-06,24.82,25.4,24.32,25.22,25.22,427645
2014-11-07,25.29,25.95,24.22,24.65,24.65,595711
2014-11-10,24.5,25.51,24.03,24.23,24.23,523572
2014-11-11,23.71,24.24,22.81,23.34,23.34,1788457
2014-11-12,23,25.15,23,25.06,25.06,740952
2014-11-13,24.99,25.56,24.42,24.82,24.82,611684
2014-11-14,24.87,25.37,24.45,25.05,25.05,648661
2014-11-17,23.89,24.79,23.86,24.08,24.08,990238
2014-11-18,23.82,24.5,23.68,24.29,24.29,417177
2014-11-19,24.2,24.87,24.2,24.43,24.43,510093
2014-11-20,24.08,25,23.89,24.9,24.9,778958
2014-11-21,25,25.05,23.906,24.38,24.38,642818
2014-11-24,24.01,24.45,23.54,24.38,24.38,727222
2014-11-25,24.28,24.74,23.61,23.7,23.7,800801
2014-11-26,23.63,23.73,23.02,23.57,23.57,397754
2014-11-28,23.69,24,23.28,23.76,23.76,125590
2014-12-01,23.01,23.385,22.64,22.68,22.68,945420
2014-12-02,22.48,23.67,22.06,23.33,23.33,502893
2014-12-03,23.33,23.8,23.3,23.65,23.65,614981
2014-12-04,23.59,23.93,23.35,23.74,23.74,290993
2014-12-05,23.75,24.35,23.65,23.89,23.89,405211
2014-12-08,23.46,23.96,22.98,23.78,23.78,936067
2014-12-09,23.1,24.68,22.88,24.67,24.67,558433
2014-12-10,24.24,24.7,23.761,23.93,23.93,639392
2014-12-11,23.91,24.7,23.62,23.83,23.83,395459
2014-12-12,23.44,24.16,23.24,23.39,23.39,474703
2014-12-15,23.29,23.29,22.41,22.6,22.6,1240701
2014-12-16,22.13,24.04,22.1,23.35,23.35,748787
2014-12-17,23.2,24.75,23.2,24.57,24.57,870628
2014-12-18,24.83,24.9,24.34,24.54,24.54,633003
2014-12-19,24.52,24.91,24.52,24.63,24.63,1079490
2014-12-22,24.7,24.77,24.28,24.6,24.6,680459
2014-12-23,24.68,25,24.5,24.55,24.55,291062
2014-12-24,25,25,24.7,24.83,24.83,561794
2014-12-26,25,25.02,24.86,25,25,281207
2014-12-29,25.01,25.02,23.9,24.09,24.09,436691
2014-12-30,24,24.828,24,24.41,24.41,273278
2014-12-31,24.5,24.6499,24.2556,24.37,24.37,245891
2015-01-02,24.43,24.77,24.11,24.57,24.57,304058
2015-01-05,24.37,24.5,23.31,24.06,24.06,374489
2015-01-06,24.21,24.672,23.8,24.52,24.52,331615
2015-01-07,24.75,24.99,24.305,24.52,24.52,225779
2015-01-08,24.69,25.67,24.42,25,25,759998
2015-01-09,24.99,25.36,24.75,25.15,25.15,394900
2015-01-12,25.14,25.4,24.125,24.58,24.58,409715
2015-01-13,24.71,25.49,24.46,24.84,24.84,333888
2015-01-14,24.59,25,24.44,24.95,24.95,105548
2015-01-15,25,25.1,24.22,24.52,24.52,341010
2015-01-16,24.5,24.75,24.48,24.58,24.58,153140
2015-01-20,24.71,24.72,23.68,24.23,24.23,444754
2015-01-21,24.17,24.64,24,24.36,24.36,149337
2015-01-22,24.55,24.92,24.05,24.75,24.75,148132
2015-01-23,24.81,26,24.41,25.92,25.92,387892
2015-01-26,25.63,25.7999,24,24.46,24.46,635917
2015-01-27,24.08,25.12,23.8,24.37,24.37,356233
2015-01-28,24.47,24.74,23.89,24.05,24.05,228947
2015-01-29,24.1,25.06,23.9,25.03,25.03,211035
2015-01-30,24.91,25.15,24.1,24.19,24.19,164634
2015-02-02,24.3,24.3,22.84,23.45,23.45,368413
2015-02-03,23.42,23.7,23.075,23.48,23.48,191181
2015-02-04,23.3,23.99,23.13,23.99,23.99,104025
2015-02-05,23.81,24.89,23.72,24.77,24.77,184581
2015-02-06,24.83,26.08,24.79,26.08,26.08,396156
2015-02-09,25.97,25.97,24.81,25.39,25.39,595318
2015-02-10,25.47,25.93,24.92,25.82,25.82,406387
2015-02-11,25.98,26.37,24.93,25.39,25.39,706173
2015-02-12,25.96,26.3495,22.24,24.36,24.36,1621088
2015-02-13,24.08,25.42,23.73,25.38,25.38,574760
2015-02-17,24.91,25.22,24.06,24.26,24.26,576127
2015-02-18,24.16,24.16,23.08,23.76,23.76,523566
2015-02-19,23.56,24.21,22.735,24.1,24.1,606453
2015-02-20,24.1,24.38,23.81,24.26,24.26,323941
2015-02-23,24.19,24.26,23.785,24.08,24.08,418446
2015-02-24,24.07,24.26,23.805,24.12,24.12,232794
2015-02-25,24.13,24.42,23.896,24.42,24.42,345146
2015-02-26,24.38,24.63,24.13,24.63,24.63,307863
2015-02-27,24.5,24.72,24.3,24.72,24.72,516120
2015-03-02,24.64,24.7299,23.96,24.11,24.11,476509
2015-03-03,23.93,24.02,22.52,22.59,22.59,359885
2015-03-04,22.55,23.49,22.325,23.06,23.06,413884
2015-03-05,23.16,23.56,22.98,23.43,23.43,172603
2015-03-06,23.2,23.45,22.75,23.01,23.01,373273
2015-03-09,23.05,23.13,22.56,23,23,453537
2015-03-10,22.3,22.53,21.2701,22.2,22.2,787766
2015-03-11,22.41,22.78,21.7,22.6,22.6,483880
2015-03-12,22.5,22.91,22.17,22.62,22.62,451308
2015-03-13,22.6,22.76,22.38,22.54,22.54,371913
2015-03-16,22.72,22.79,22.23,22.69,22.69,278549
2015-03-17,22.49,22.6,21.74,22.16,22.16,500492
2015-03-18,21.99,23.62,21.79,23.3,23.3,565718
2015-03-19,23.86,23.91,22.75,23.41,23.41,4797206
2015-03-20,23.42,23.5,22.17,22.17,22.17,1336434
2015-03-23,22.1,23.06,21.6599,22.98,22.98,1452839
2015-03-24,23.03,23.21,22.69,22.71,22.71,520387
2015-03-25,22.82,23,22.16,22.31,22.31,848156
