Date,Open,High,Low,Close,Adjusted_close,Volume
2013-01-31,26,26,26,26,24.7022,0
2013-02-01,31.5,31.74,30.47,31.01,29.4617,66789484
2013-02-04,31.09,31.99,30.76,31.02,29.4713,7695943
2013-02-05,31.25,31.98,30.85,31.04,29.4909,5014316
2013-02-06,30.98,31.43,30.75,31.03,29.481,2126101
2013-02-07,31,32.73,31,32,30.4027,3800770
2013-02-08,32.31,33.48,32.3,33.05,31.4,2599232
2013-02-11,33.06,33.5,32.88,33.26,31.5996,1487115
2013-02-12,33.4,34,33.15,33.74,32.0557,1637279
2013-02-13,33.8,33.8,33,33.55,31.8752,1269625
2013-02-14,33.39,33.45,32.77,33.27,31.6093,2954424
2013-02-15,33.31,34.09,33,33.98,32.2836,5415665
2013-02-19,34.02,34.07,33.57,33.84,32.1507,1206819
2013-02-20,33.84,33.88,32.6,32.72,31.0866,1843361
2013-02-21,32.5,32.8,31.86,32.56,30.9345,3242213
2013-02-22,32.78,32.93,32.5,32.59,30.9631,954407
2013-02-25,32.68,32.69,32,32.07,30.4689,818858
2013-02-26,32.05,32.4,31.99,32.04,30.4405,1048603
2013-02-27,32,33.05,32,32.32,30.7067,1343563
2013-02-28,32.56,33.55,32.56,33.45,31.7802,2991401
2013-03-01,33.36,34.7,33.15,34.6,32.8728,2333917
2013-03-04,34.8,34.89,34.235,34.35,32.6354,865348
2013-03-05,34.41,34.48,33.75,34.29,32.5782,1413387
2013-03-06,34.34,34.38,33.85,33.85,32.1601,802112
2013-03-07,33.95,34.68,33.56,34.56,32.8349,1319992
2013-03-08,34.03,34.69,33.8,34.09,32.3882,1541064
2013-03-11,33.97,34.26,33.25,34.18,32.4738,1729408
2013-03-12,34.12,34.245,33.6,33.82,32.1318,1557570
2013-03-13,33.9,34.06,33.08,34,32.3026,2240952
2013-03-14,34.33,35.42,34.2978,34.64,32.9111,1865195
2013-03-15,34.7,34.84,33.31,33.44,31.7706,2692330
2013-03-18,32.75,32.94,32.64,32.84,31.2005,2371964
2013-03-19,32.8,33.42,32.3276,32.8,31.1627,1336276
2013-03-20,32.9,33.54,32.5,33.51,31.8372,1944682
2013-03-21,33.9,34,33.29,33.47,31.7992,514497
2013-03-22,33.55,33.75,32.735,33.12,31.4667,763527
2013-03-25,33.48,33.48,32.25,32.46,30.8395,1324563
2013-03-26,32.73,32.79,32,32.51,30.8871,1396456
2013-03-27,32.38,32.89,32.0601,32.74,31.1057,1896725
2013-03-28,32.85,33.5,32.63,33.4,31.7326,7435237
2013-04-01,33.42,33.59,32.43,32.59,30.9631,1466313
2013-04-02,32.66,33.13,32.46,32.55,30.9249,712189
2013-04-03,32.67,32.98,32.36,32.53,30.9064,1409612
2013-04-04,32.41,32.5,31.71,31.84,30.2506,1946314
2013-04-05,31.73,32.07,30.57,31.96,30.3645,3963480
2013-04-08,31.95,32.98,31.77,32.92,31.2767,1965108
2013-04-09,33.05,33.5899,32.56,33.44,31.7706,2006864
2013-04-10,33.76,33.76,32.98,33.15,31.4952,969452
2013-04-11,33.22,33.24,32.87,33.16,31.5047,1826538
2013-04-12,32.97,33.35,32.6,33.23,31.5713,723441
2013-04-15,33.07,33.23,32.17,32.24,30.6305,839485
2013-04-16,32.36,33.37,32.29,33.21,31.5523,2271324
2013-04-17,32.98,33.23,32.17,32.89,31.2482,3140912
2013-04-18,33.1,33.1,32.38,32.47,30.8492,799890
2013-04-19,32.71,32.79,31.81,32.71,31.0771,2159266
2013-04-22,32.9,32.9,32.22,32.66,31.0296,922060
2013-04-23,32.78,32.96,31.5,31.7,30.1174,2736343
2013-04-24,31.63,31.69,30.42,30.62,29.0916,4149243
2013-04-25,30.93,31.99,30.75,31.55,29.975,1520556
2013-04-26,31.61,32.68,31.61,32.64,31.0106,1421827
2013-04-29,32.95,32.95,32.17,32.66,31.0915,1711593
2013-04-30,33.68,34.74,32.93,33.02,31.4343,3390321
2013-05-01,32.97,33.51,32.66,33.39,31.7865,1394436
2013-05-02,33.38,33.87,33.11,33.28,31.6814,696250
2013-05-03,33.62,33.64,33,33.21,31.6153,998866
2013-05-06,33.35,33.49,32.75,32.94,31.3584,503640
2013-05-07,33.08,33.08,32.295,32.88,31.3011,700677
2013-05-08,33,33.44,32.72,33.26,31.6629,1034104
2013-05-09,33.31,33.67,33.28,33.55,31.9386,977130
2013-05-10,33.54,33.61,32.97,33.18,31.5864,534009
2013-05-13,33.06,33.49,32.75,33.04,31.4533,438632
2013-05-14,33.13,33.75,32.85,33.08,31.4912,872233
2013-05-15,32.94,33.06,32.56,32.79,31.2152,563406
2013-05-16,33.48,33.8,33.16,33.39,31.7865,1279483
2013-05-17,33.35,33.9,33.1903,33.9,32.2723,962449
2013-05-20,33.9,34,33.6,33.71,32.0909,735671
2013-05-21,33.57,33.74,32.99,33.04,31.4533,1692350
2013-05-22,32.55,33.99,31.75,33.55,31.9386,26011096
2013-05-23,33.25,33.8,32.71,32.84,31.2629,9008453
2013-05-24,33.2,33.62,32.53,33.46,31.853,5911577
2013-05-28,33.8,34.28,33.5858,34.26,32.6145,4960455
2013-05-29,34.25,34.25,32.88,32.95,31.3676,3095633
2013-05-30,32.77,33.1,32.1,32.24,30.6918,3934038
2013-05-31,32.3,32.34,31.8,32,30.4633,6512338
2013-06-03,32.01,32.84,31.31,32.75,31.1773,3398831
2013-06-04,32.83,32.99,31.84,32.4,30.8439,4513319
2013-06-05,32.42,32.42,31.75,32.17,30.6252,3522254
2013-06-06,32.17,32.3093,31.54,32.08,30.5393,2919005
